메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,기타,반찬,,210,30,9,6,79,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_1.png,"설탕 약간, 강낭콩, 소금 약간, 두유요거트 소스, 브로콜리컬리플라워 샐러드, 컬리플라워, 두유, 레몬즙, 호두, 브로콜리, 플레인요거트, 건포도, 적양파","1. 두유에 플레인요거트와 레몬즙, 설탕을 넣고 잘 섞어 두유요거트 소스를 만든다. 
2. 강낭콩은 물에 불린 후 콩과 물을 1:
2.5로 넣고 20~25분 삶아 건지고 브로콜리와 컬리플라워는 한입 크기로 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹궈 물기를 뺀다. 
3. 접시에 데친 브로콜리와 컬리플라워, 삶은 강낭콩, 채썬 적양파, 다진 호두, 건포도를 담고 두유요거트 소스를 곁들여 낸다.                 "
오렌지와 당근 만남주스,기타,후식,250,60,14,1,0,76,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,"오렌지, 당근, 오렌지 당근펀치","1. 오렌지는 깨끗이 씻어 껍질을 벗긴다. 
2. 당근은 깨끗이 씻어 작은 토막으로 썬다. 
3. 당근, 오렌지, 물(50ml)을 믹서에 곱게 간다. 
4. 믹서에 갈아낸 주스는 고운 체로 거른다. 
5. 주스를 살얼음이 생길 만큼 시원하게 냉동한다. 
6. 컵에 담아 마무리한다.              "
칠곡석류국수,끓이기,일품,,73.4,12.7,2.1,1.6,12.5,저염소금,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_1.png,"장식, 석류, 호두, 소스, 소면, 저염소금, 해바라기씨, 아몬드, 오이, 호박씨, 주재료, 식초, 잣","1. 잣, 아몬드, 해바라기씨, 호두, 호박씨는 다진다. 
2. 끓는 물에 저염소금과 식초를 넣은 후 소면을 삶은 후 체에 건져 물기를
뺀다. 
3. 석류는 물 600g와 함께 믹서에 갈고 체에 걸러 즙을 낸다. 그릇에 면을 담고 차갑게 식힌 석류즙을 붓고 견과류, 채 썬 오이를 고명으로 올린다.                 "
블랙빈 곤약국수,끓이기,일품,,54.3,4.9,3.4,2.4,18.5,실곤약,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_1.png,"장식, 볶은 흑임자, 호두, 오이, 실곤약, 주재료, 달걀, 토마토, 검은콩","1. 검은콩을 1시간 찬물에 담가 불린 후 삶아 익힌 후 불순물을 제거하고 흑임자, 생수, 삶은 콩, 호두를 믹서에 갈아 살엄음이 생기도록 냉동실에 넣는다. 
2. 오이는 돌려 깎아 채 썰고, 토마토는 1/8크기로 썰고, 달걀은 삶아 반으로 자른다. 
3. 실곤약은 끓는 물에 데치고 찬물에 헹궈 그릇에 담은 후 콩물을 담고 오이, 토마토, 달걀을 고명으로 올려 완성한다.                 "
닭가슴살 브로콜리 만두,찌기,일품,,123.2,19,8.4,1.5,167.9,닭가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_1.png,"표고버섯, 만두피, 숙주, 참기름, 소금, 저염간장, 주재료, 브로콜리, 후춧가루, 닭 가슴살","1. 브로콜리, 숙주, 표고버섯, 닭 가슴살은 다지고 다진 닭 가슴살은 소금과 후추로 밑간 한다. 
2. 다진 채소와 닭가슴살, 참기름, 저염간장을 섞어 만두소를 만든다. 
3. 준비한 만두피에 만두소를 넣은 후 만두 모양으로 빚고 만두를 찜통에 넣어 찌고 그릇에 담는다.                 "
함초 냉이 국수,끓이기,일품,,35.8,7.1,1.8,0,34.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_1.png,"냉이, 장식, 다시마, 모시조개, 파, 무, 소면, 함초, 노루궁뎅이버섯, 간장, 실고추, 주재료, 육수, 달걀, 청고추, 양파","1. 함초, 노루궁뎅이버섯, 다시마, 파, 양파, 무를 물에 넣어 10분 끓이고 향이 강한 모시조개와 냉이를 넣고 30분  끓인 후 간장으로 색을 낸다. 
2. 소면은 따로 삶는다. 
3. 그릇에 삶은 소면을 담은 후 육수를 붓고 지단, 슬라이스한 청고추, 실고추를 올려 완성한다.                 "
된장 두부찌개,끓이기,국&찌개,,77.3,2.4,7.5,4.2,124.6,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_1.png,"청양고추, 홍고추, 두부, 돼지고기, 대파, 쌀뜨물, 김치, 된장, 고춧가루","1. 두부에 쌀뜨물을 넣고 갈아준다. 
2. 돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다. 
3. 냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다.                 "
부대된장찌개,끓이기,국&찌개,,72.6,4.2,5.3,3.9,191.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_1.png,"청양고추, 홍고추, 두부, 다시마, 무, 베이컨, 대파, 다진 마늘, 양파, 스팸, 김치, 소시지, 우민찌, 저염된장, 떡국 떡","1. 김치, 베이컨, 스팸, 소시지, 양파, 두부, 무는 두께 
0.5cm로 썬다. 
2. 다시마와 물을 끓여 다시마물을 만든다. 
3. 냄비에 소시지, 베이컨, 두부, 스팸, 무, 우민찌, 김치, 다시마물 300g을 넣어 끓인 후 저염된장, 양파, 대파, 다진 마늘, 떡국 떡을 넣고 재료가 다 익으면 홍고추와 청양고추를 넣어 완성한다.                 "
양배추감자전,굽기,반찬,,148.9,14.7,7.7,6.6,107.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_1.png,"청양고추, 두부, 오렌지즙, 돼지고기, 부침가루, 당근, 감자, 소스, 간장, 양배추, 식용유, 주재료, 달걀, 식초","1. 감자는 믹서에 갈고 양배추는 채 썰고 고기, 당근, 청양고추, 두부는 다진다. 
2. 준비해둔 재료를 모두 섞고 부침가루와 계란을 넣어 반죽한다. 
3. 가열된 팬에 기름을 두르고 반죽을 부어 굽고 소스를 함께 곁들인다.                 "
돌나물 샐러드,기타,반찬,,235,2,3,24,151,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_1.png,"레몬마요네즈 소스, 청양고추, 홍고추, 미니새송이버섯, 레몬즙, 돌나물, 마요네즈, 참기름 약간","1. 청양고추와 홍고추를 다져서 참기름에 살짝 볶은 후 볶은 고추에 마요네즈와 레몬즙을 넣어 소스를 만든다. 
2. 돌나물은 손질하여 찬물에 담구고 새송이버섯은 달군 프라이팬에 참기름을 두르고 노릇
하게 굽는다. 
3. 돌나물은 물기를 빼고 구운 새송이버섯과 레몬마요네즈 소스를 넣고
버무려 접시에 담는다.                 "
석류 보쌈김치,기타,반찬,,24.5,4.7,1.4,0,171.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_1.png,"배추, 양념, 다진 생강, 소금, 무, 미나리, 다진 마늘, 주재료, 새우젓국, 쪽파, 석류즙","1. 배추를 소금물에 하루 동안 절인 후 물기를 빼고 석류는 즙을 낸다. 
2. 무는 채 썰고, 쪽파와 미나리는 4cm로 자른다. 
3. 무채, 미나리, 쪽파, 다진 마늘, 다진 생강, 새우젓국을 넣고 섞어 소를 만들고 절인 배추에 소를 넣고 오므려 싼다. 석류즙에 소를 채운 배추를 담가 완성한다.                 "
유자 대구조림,끓이기,반찬,,84,10.6,9.6,0.4,109.7,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_1.png,"황파프리카, 장식, 대구살, 황금팽이버섯, 청파프리카, 홍파프리카, 미나리, 소스, 대파, 발사믹식초, 화이트와인, 밀가루, 주재료, 유자청","1. 발사믹 식초, 화이트와인, 다진 유자청 건더기를 넣고 졸여 소스를 만들고 대구를 손질하여 포를 뜬다. 
2. 대파, 청파프리카, 홍파프리카, 황파프리카를 채 썬다. 
3. 대구포에 밀가루를 묻혀 청파프리카, 홍파프리카, 황파프리카, 황금팽이버섯을 넣고 말아 미나리로 묶어 찐 후 소스를 뿌리고 썬 대파를 올려 완성한다.                 "
파프리카 물김치,기타,반찬,,44.9,10.1,1.1,0,272,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_1.png,"황파프리카, 배추, 자색고구마, 양념, 물엿, 무, 소금, 사과, 배, 주재료, 쪽파, 부추, 멥쌀","1. 황파프리카를 갈아 체에 내리고 멥쌀로 쌀풀을 만들어 황파프리카 즙을 섞고 물엿을 첨가하여 양념을 만든다. 
2. 배추를 소금물에 절이고 절인 배추를 찬물로 씻어 소금기를 뺀다. 
3. 소금기를 뺀 배추에 채썬 자색고구마, 무, 쪽파, 부추, 사과, 배를 놓고 양념을 부은 후 3일 동안 숙성시켜 완성한다.                 "
고추장 라따뚜이,굽기,반찬,,62.6,7.6,3.1,2.2,138.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_1.png,"저염살라미, 설탕, 바질, 고추장, 양송이버섯, 사과, 가지, 소스, 마늘, 주재료, 토마토, 애호박, 양파","1. 양파와 마늘은 다져서 볶다가 토마토 과육과 설탕, 바질을 넣고 고추장을 섞어 토마토 소스를 만든다. 
2. 가지, 양송이버섯, 애호박, 사과는 썰고 살라미는 데친다. 
3. 오븐용 팬에 토마토 소스를 넓게 펴준 뒤 애호박, 가지, 양송이버섯, 살라미를 겹치게 넣고 180℃로 예열한 오븐에 넣고 30분 구워 완성한다                 "
민들레 샐러드,기타,반찬,,53.9,10.9,2.4,0,874.2,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00201_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00201_1.png,"비트, 설탕, 민들레 잎, 다진 홍고추, 간장, 드레싱, 레몬즙, 주재료, 오렌지","1. 간장, 레몬즙, 설탕, 다진 홍고추를 섞어 드레싱을 만든다. 
2. 민들레 잎은 4×4cm로 썰고, 비트는 채 썰고 물에 담가 색을 뺀다. 
3. 오렌지는 씻어 껍질만 발라 채 썰고 민들레 잎, 비트, 오렌지 껍질을 섞어 접시에 담고 드레싱을 곁들인다.                 "
토마토 가지 카프레제,굽기,후식,,90.5,7.4,1.2,6.2,11.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00202_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00202_1.png,"후춧가루, 마늘, 가지, 무순, 발사믹식초, 드레싱, 주재료, 올리브오일, 토마토","1. 올리브오일, 발사믹식초, 후춧가루를 섞어 차게 식혀 드레싱을 만든다. 
2. 가지와 토마토는 5mm두께로 썰고 120도 오븐에 20분 구운 후 구운 가지는 물기를 제거한다. 
3. 팬에 올리브오일을 두르고 약불에서 채 썬 마늘을 볶다가, 가지를 넣고 구운 후 접시에 토마토, 가지를 번갈아 담고 무순으로 장식하고 드레싱을 곁들인다.                 "
우렁된장소스 배추롤,찌기,일품,,326.3,43,22.3,7.2,976,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00636_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00636_1.png,"표고버섯, 돼지고기, 우렁이, 당근, 애호박, 배춧잎, 된장, 쌀, 부추, 양파","1. 끓는 물에 배춧잎을 데친다. 
2. 당근, 호박, 표고버섯, 양파는
입자있게 다진다. 
3. 돼지고기를 썰어 불린 쌀, 다진 야채와
함께 밥을 짓는다. 
4. 데친 배춧잎에 지어놓은 밥을 올려
돌돌만다. 
5. 말아 놓은 배춧잎을 부추로 묶는다. 
6. 찜통에 김이 오르면 ?번을 넣고 약 5분
정도 찐다.              "
인삼떡갈비,굽기,반찬,,253.3,15,26.9,9.5,196,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00637_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00637_1.png,"단호박, 두부, 설탕, 배추잎, 소금, 돼지고기, 파프리카, 양송이, 마늘, 대추, 후춧가루, 소고기, 배, 저염간장, 인삼, 애호박, 양파","1. 대추는 돌려 깍아 씨를 제거 하고 곱게
다진다. 
2. 다진 소고기와 돼지고기에 대추와 소금
후춧가루를 넣고 치댄다. 
3. 애호박과 단호박, 파프리카는
입자있게 썰어 ?에 넣고 잘 치댄다. 
4. 양송이는 편으로 썰어 팬에 익히고,
인삼을 뇌두를 자르고 깨끗이 씻어
팬에 볶아 잘게 썰어 ?에 넣는다. 
5. 재료가 골고루 섞인 떡갈비를 갈비
모양으로 만든다. 
6. 떡갈비를 팬에 굽고, 접시에 배춧잎을
깔고 익힌 양송이를 올리고 떡갈비를
담는다.              "
초계탕과 사색곤약,끓이기,반찬,,100.1,7.7,15.4,0.9,54.4,가시오가피,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00638_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00638_1.png,"치자가루, 다시마, 비트, 설탕, 소금, 가시오가피, 후춧가루, 마늘, 건새우, 대파, 오이, 겨자가루, 실곤약, 닭고기, 식초, 양파","1. 닭을 깨끗이 손질하고, 부위별로
자른다. 
2. 냄비에 가시오가피, 대파, 다시마,
마늘, 건새우를 넣고 은근히 끓인 후
닭을 넣고 약 20분 정도 삶아 건진 뒤
살을 찢어둔다. 
3. 양파, 오이는 채썰고 식초, 설탕,
소금을 넣고 초절임한다 
4. 겨자가루에 30℃ 정도의 물을 넣고
골고루 섞어 발효시키고, 설탕, 식초,
소금을 넣고 겨자소스를 만든다 
5. 흰곤약과 비트, 치자가루를 섞은 곤약,
채썬 다시마를 접시에 담는다. 
6. 양파, 오이 초절임과 닭살을 한쪽에
담아 먹기 직전에 겨자소스를 올린다.              "
호박잎 삼계탕,끓이기,일품,,314.1,53.7,16,3.9,55.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00639_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00639_1.png,"호박잎, 소금, 미나리, 후춧가루, 대추, 닭고기, 인삼, 찹쌀","1. 찹쌀은 깨끗이 씻어 30분 정도 불린다 
2. 불린 찹쌀은 냄비에 넣고 질게 밥을
한다. 
3. 닭가슴살은 넓게 펴서 소금,
후춧가루를 뿌린다. 
4. 호박잎과 미나리는 끓는 물에 살짝
데치고, 대추는 돌려 깎아 씨를
제거하고 인삼은 뇌두를 제거한 뒤
채를 썰어둔다. 
5. 데친 호박잎에 닭 가슴살을 올린다. 
6. 닭 가슴살위에 찹쌀밥과 준비한 야채와
대추를 올려 돌돌 말아 질게 된
찹쌀밥에 넣고 약 20분 정도 더 쪄낸다.              "
황태미역 곤약스프,끓이기,국&찌개,,124.9,3.2,14.3,6.1,790.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00640_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00640_1.png,"두부, 들깨가루, 액젓, 표고버섯, 마늘, 곤약, 참기름, 된장, 황태채, 건미역","1. 된장에 두부를 넣고 골고루 섞는다. 
2. 표고버섯과 마늘은 함께 갈아둔다. 
3. 미역은 충분히 불린다. 
4. 냄비에 황태채와 갈아둔 표고버섯,
마늘을 넣고 은근히 끓여 육수를
만든다. 
5. 곤약은 납작납작하게 썰어 끓는 물에
데친다. 
6. 육수에서 황태를 건져 두부된장과 함께
갈아 육수에 붓고, 미역, 곤약,
들깨가루를 넣고 약 20분 정도 끓인 후
액젓으로 간을 한다.              "
훈제오리가슴살 샐러드,굽기,반찬,,261.8,11.5,21,14.6,636,훈제오리가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00641_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00641_1.png,"블루베리, 오리고기, 레디쉬, 파슬리, 발사믹소스, 양파","1. 훈제오리 가슴살을 슬라이스한다. 
2. 슬라이스한 훈제오리는 팬에 굽는다. 
3. 양파는 채썰고 찬물에 담근 뒤 건진다. 
4. 레디쉬는 채썰고 찬물에 담근 뒤
건진다. 
5. 먹기 직전에 발사믹소스를 만든다. 
6. 접시에 훈제오리와 양파채, 레디쉬,
블루베리를 담고 발사믹소스를
올린다.              "
훈제오리가슴살크러스트,굽기,반찬,,250,13.5,17.2,14.1,352.2,훈제오리가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00642_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00642_1.png,"로즈마리, 후춧가루, 오리고기, 땅콩, 새송이버섯, 파슬리, 올리브오일, 유자청, 오렌지","1. 훈제오리 가슴살은 올리브오일,
로즈마리, 후춧가루로
마리네이드한다. 
2. 새송이버섯은 편으로 썰고 팬에
굽는다. 
3. 오렌지는 슬라이스로 썬다. 
4. 땅콩과 파슬리는 입자있게 다진다. 
5. 마리네이드한 오리 고기를 구워 접시에
담는다. 
6. 유자청에 땅콩, 파슬리가루를 넣고
소스를 만들고, 구워진 오리고기
사이에 오렌지 슬라이스를 넣고
유자청소스를 올린다.              "
